Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
156.31,162.85,150.75,152.19,76787884,0,1,156.31,162.85,150.75,152.19,76787884
160.82,161.1,149.02,160.06,125438294,0,1,160.82,161.1,149.02,160.06,125438294
165.44,167.1,159.02,159.39,52306891,0,1,165.44,167.1,159.02,159.39,52306891
166.13,170.27,163.72,164.89,73389988,0,1,166.13,170.27,163.72,164.89,73389988
164.8,173.4,163.3,169.39,105350867,0,1,164.8,173.4,163.3,169.39,105350867
167.47,170.2,161.95,168.15,128925534,0,1,167.47,170.2,161.95,168.15,128925534
177.01,177.17,170.06,172.56,86897749,0,1,177.01,177.17,170.06,172.56,86897749
184.49,185.33,183.41,185.09,23090480,0,1,184.49,185.33,183.41,185.09,23090480
183.24,184,182.19,183.86,15461869,0,1,183.24,184,182.19,183.86,15461869
182.6,184.25,181.85,184.19,16426843,0,1,182.6,184.25,181.85,184.19,16426843
185.61,185.99,181.11,181.88,17742312,0,1,185.61,185.99,181.11,181.88,17742312
185.23,186.1,184.22,184.76,14873538,0,1,185.23,186.1,184.22,184.76,14873538
183.91,185.51,183.21,185.23,17952177,0,1,183.91,185.51,183.21,185.23,17952177
183.56,184.4,181.45,182.34,15336555,0,1,183.56,184.4,181.45,182.34,15336555
178.74,183.82,178.07,183.71,19097293,0,1,178.74,183.82,178.07,183.71,19097293
181.78,182.38,179.11,179.78,15086784,0,1,181.78,182.38,179.11,179.78,15086784
176.2,181.1475,175.89,180.4,16189280,0,1,176.2,181.1475,175.89,180.4,16189280
173.29,177.11,172.99,176.62,20025905,0,1,173.29,177.11,172.99,176.62,20025905
179.01,180.12,174.41,175.94,23201626,0,1,179.01,180.12,174.41,175.94,23201626
182.3,182.88,178.14,178.32,18208084,0,1,182.3,182.88,178.14,178.32,18208084
184.45,184.7,181.46,181.46,15649326,0,1,184.45,184.7,181.46,181.46,15649326
184.58,185.66,183.2228,184.93,17418814,0,1,184.58,185.66,183.2228,184.93,17418814
179.9,183.39,179.51,183.29,18621950,0,1,179.9,183.39,179.51,183.29,18621950
178.7,180.21,177.41,178.99,17085490,0,1,178.7,180.21,177.41,178.99,17085490
