# Data is copyright of Lavanya Gupta @ https://www.kaggle.com/lava18/google-play-store-apps,,,,
Installs,Type,Price,Content Rating,Genres
"10,000+",Free,0,Everyone,Art & Design
"500,000+",Free,0,Everyone,Art & Design;Pretend Play
"5,000,000+",Free,0,Everyone,Art & Design
"50,000,000+",Free,0,Teen,Art & Design
"100,000+",Free,0,Everyone,Art & Design;Creativity
"50,000+",Free,0,Everyone,Art & Design
"50,000+",Free,0,Everyone,Art & Design
"1,000,000+",Free,0,Everyone,Art & Design
"1,000,000+",Free,0,Everyone,Art & Design
"10,000+",Free,0,Everyone,Art & Design;Creativity
"1,000,000+",Free,0,Everyone,Art & Design
"1,000,000+",Free,0,Everyone,Art & Design
"10,000,000+",Free,0,Teen,Art & Design
"100,000+",Free,0,Everyone,Art & Design
"100,000+",Free,0,Everyone,Art & Design
"5,000+",Free,0,Everyone,Art & Design
"500,000+",Free,0,Everyone,Art & Design
"10,000+",Free,0,Everyone,Art & Design
"5,000,000+",Free,0,Everyone,Art & Design
"10,000,000+",Free,0,Everyone,Art & Design
"100,000+",Free,0,Everyone,Art & Design
"100,000+",Free,0,Everyone,Art & Design
"500,000+",Free,0,Everyone 10+,Art & Design
"100,000+",Free,0,Everyone,Art & Design;Action & Adventure
"50,000+",Free,0,Everyone,Art & Design
"10,000+",Free,0,Everyone,Art & Design
"500,000+",Free,0,Everyone,Art & Design;Creativity
"100,000+",Free,0,Everyone,Art & Design
"10,000+",Free,0,Everyone,Art & Design
"100,000+",Free,0,Everyone,Art & Design
"100,000+",Free,0,Everyone,Art & Design
"50,000+",Free,0,Everyone,Art & Design
"100,000+",Free,0,Everyone,Art & Design
"100,000+",Free,0,Everyone,Art & Design
"10,000+",Free,0,Teen,Art & Design
"100,000+",Free,0,Everyone,Art & Design
"500,000+",Free,0,Everyone,Art & Design;Creativity
"5,000,000+",Free,0,Everyone,Art & Design
"10,000+",Free,0,Everyone,Art & Design
"500,000+",Free,0,Everyone,Art & Design
"10,000+",Free,0,Everyone,Art & Design
"100,000+",Free,0,Everyone,Art & Design
"10,000,000+",Free,0,Everyone,Art & Design
"100,000+",Free,0,Everyone,Art & Design;Creativity
"10,000+",Free,0,Everyone,Art & Design
"10,000,000+",Free,0,Everyone,Art & Design
"100,000+",Free,0,Everyone,Art & Design
"100,000+",Free,0,Everyone,Art & Design
"100,000+",Free,0,Everyone,Art & Design
"100,000+",Free,0,Everyone,Auto & Vehicles
"1,000,000+",Free,0,Everyone,Auto & Vehicles
"100,000+",Free,0,Everyone,Auto & Vehicles
"1,000,000+",Free,0,Everyone,Auto & Vehicles
"100,000+",Free,0,Everyone,Auto & Vehicles
"100,000+",Free,0,Everyone,Auto & Vehicles
"100,000+",Free,0,Everyone,Auto & Vehicles
"50,000+",Free,0,Everyone,Auto & Vehicles
"100,000+",Free,0,Everyone,Auto & Vehicles
,,,,
"100,000+",Free,0,Everyone,Auto & Vehicles
"10,000+",Free,0,Everyone,Auto & Vehicles
"100,000+",Free,0,Everyone,Auto & Vehicles
"1,000,000+",Free,0,Everyone,Auto & Vehicles
"100,000+",Free,0,Everyone,Auto & Vehicles
"100,000+",Free,0,Everyone,Auto & Vehicles
"10,000+",Free,0,Everyone,Auto & Vehicles
"50,000+",Free,0,Everyone,Auto & Vehicles
"5,000,000+",Free,0,Everyone,Auto & Vehicles
"100,000+",Free,0,Everyone,Auto & Vehicles
"5,000,000+",Free,0,Everyone,Auto & Vehicles
"5,000,000+",Free,0,Everyone,Auto & Vehicles
"500,000+",Free,0,Everyone,Auto & Vehicles
"10,000,000+",Free,0,Teen,Auto & Vehicles
"100,000+",Free,0,Everyone,Auto & Vehicles
"500,000+",Free,0,Everyone,Auto & Vehicles
"50,000+",Free,0,Everyone,Auto & Vehicles
