,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
0,Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19000.0,10000,Free,0.0,Everyone,Art & Design,7-Jan-18,1.0.0,Ice Cream Sandwich
1,Coloring book moana,ART_AND_DESIGN,3.9,967,14000.0,500000,Free,0.0,Everyone,Art & Design;Pretend Play,15-Jan-18,2.0.0,Ice Cream Sandwich
2,"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,87510,8700.0,5000000,Free,0.0,Everyone,Art & Design,1-Aug-18,1.2.4,Ice Cream Sandwich
3,Sketch - Draw & Paint,ART_AND_DESIGN,4.5,215644,25000.0,50000000,Free,0.0,Teen,Art & Design,8-Jun-18,Varies with device,Jelly Bean
4,Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967,2800.0,100000,Free,0.0,Everyone,Art & Design;Creativity,20-Jun-18,1.1,KitKat
5,Paper flowers instructions,ART_AND_DESIGN,4.4,167,5600.0,50000,Free,0.0,Everyone,Art & Design,26-Mar-17,1,Gingerbread
6,Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3.8,178,19000.0,50000,Free,0.0,Everyone,Art & Design,26-Apr-18,1.1,Ice Cream Sandwich
7,Infinite Painter,ART_AND_DESIGN,4.1,36815,29000.0,1000000,Free,0.0,Everyone,Art & Design,14-Jun-18,6.1.61.1,Jelly Bean
8,Garden Coloring Book,ART_AND_DESIGN,4.4,13791,33000.0,1000000,Free,0.0,Everyone,Art & Design,20-Sep-17,2.9.2,Honeycomb
9,Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4.7,121,3100.0,10000,Free,0.0,Everyone,Art & Design;Creativity,3-Jul-18,2.8,Ice Cream Sandwich
10,Text on Photo - Fonteee,ART_AND_DESIGN,4.4,13880,28000.0,1000000,Free,0.0,Everyone,Art & Design,27-Oct-17,1.0.4,Jelly Bean
11,Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4.4,8788,12000.0,1000000,Free,0.0,Everyone,Art & Design,31-Jul-18,1.0.15,Ice Cream Sandwich
12,Tattoo Name On My Photo Editor,ART_AND_DESIGN,4.2,44829,20000.0,10000000,Free,0.0,Teen,Art & Design,2-Apr-18,3.8,Jelly Bean
