# Data is copyright of Lavanya Gupta @ https://www.kaggle.com/lava18/google-play-store-apps,,,,,,,,,,,,
App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Aura Hair Group BC,BEAUTY,NaN,0,Varies with device,100+,Free,0,Everyone,Beauty,23-Apr-18,Varies with device,4.0.3 and up
Bridge Constructor Playground FREE,FAMILY,3.9,137377,30M,"5,000,000+",Free,0,Everyone,Simulation,12-Apr-17,2.2,4.0.3 and up
"BDCast - Bangla Live TV,Radio",FAMILY,4.4,7461,31M,"1,000,000+",Free,0,Everyone,Entertainment,20-May-18,4.2.1,4.1 and up
bd's Mongolian Grill,LIFESTYLE,4.2,120,14M,"10,000+",Free,0,Everyone,Lifestyle,23-Feb-18,1.5.1,4.1 and up
BD Briight: Your Diabetes Personal Assistant,MEDICAL,4.8,17,37M,"5,000+",Free,0,Everyone,Medical,19-Jul-18,1.5.0,5.0 and up
Jagobd - Bangla TV(Official),FAMILY,4.3,39109,4.0M,"1,000,000+",Free,0,Everyone,Entertainment,20-Dec-17,6.5,4.0 and up
Business Dictionary,BUSINESS,4.2,5988,Varies with device,"500,000+",Free,0,Everyone,Business,16-May-16,Varies with device,Varies with device
BD Data Plan (3G & 4G),COMMUNICATION,4.4,10341,6.9M,"500,000+",Free,0,Everyone,Communication,5-Jul-18,5.2.4,4.1 and up
বাংলা টিভি প্রো BD Bangla TV,FAMILY,4.3,193,14M,"10,000+",Free,0,Everyone,Entertainment,29-Apr-17,1.3,4.0 and up
,,,,,,,,,,,,
BD Provider App,HEALTH_AND_FITNESS,1.4,45,13M,"5,000+",Free,0,Everyone,Health & Fitness,12-Sep-16,1,4.1 and up
"Izneo, Read Manga, Comics & BD",COMICS,3.3,1476,18M,"500,000+",Free,0,Teen,Comics,11-Jun-18,7.3,4.0 and up
BD Radio TV Free List,FAMILY,4.3,539,13M,"50,000+",Free,0,Everyone,Entertainment,1-Aug-18,1.3,4.2 and up
BD Simplist Through Their Eyes,FAMILY,NaN,1,38M,10+,Free,0,Everyone,Simulation,4-Dec-15,1,4.1 and up
BD Online News,NEWS_AND_MAGAZINES,4.6,30,3.8M,"1,000+",Free,0,Everyone,News & Magazines,20-Mar-18,1.5,4.0.3 and up
BD Bank Interest,FINANCE,4.7,289,3.2M,"5,000+",Free,0,Everyone,Finance,4-May-18,1.2,4.1 and up
