version,name
4.0.3 and up,Ice Cream Sandwich
4.2 and up,Jelly Bean
4.4 and up,KitKat
2.3 and up,Gingerbread
3.0 and up,Honeycomb
4.1 and up,Jelly Bean
4.0 and up,Ice Cream Sandwich
2.3.3 and up,Gingerbread
Varies with device,NaN
nan,NaN
5.0 and up,Lollipop
6.0 and up,Marshmallow
1.6 and up,Donut
1.5 and up,Cupcake
2.1 and up,Eclair
7.0 and up,Nougat
2.2 and up,Froyo
5.1 and up,Lollipop
4.3 and up,Jelly Bean
4.0.3 - 7.1.1,Ice Cream Sandwich
3.2 and up,Honeycomb
4.4W and up,KitKat
2.0 and up,Eclair
7.0 - 7.1.1,Nougat
8.0 and up,Oreo
5.0 - 8.0,Lollipop
3.1 and up,Honeycomb
7.1 and up,Nougat
2.0.1 and up,Eclair
4.1 - 7.1.1,Jelly Bean
5.0 - 6.0,Lollipop
1.0 and up,Cupcake
2.2 - 7.1.1,Froyo
5.0 - 7.1.1,Lollipop
