# Data is copyright of Lavanya Gupta @ https://www.kaggle.com/lava18/google-play-store-apps,,
Last Updated,Current Ver,Android Ver
7-Jan-18,1.0.0,4.0.3 and up
15-Jan-18,2.0.0,4.0.3 and up
1-Aug-18,1.2.4,4.0.3 and up
8-Jun-18,Varies with device,4.2 and up
20-Jun-18,1.1,4.4 and up
26-Mar-17,1,2.3 and up
26-Apr-18,1.1,4.0.3 and up
14-Jun-18,6.1.61.1,4.2 and up
20-Sep-17,2.9.2,3.0 and up
3-Jul-18,2.8,4.0.3 and up
27-Oct-17,1.0.4,4.1 and up
31-Jul-18,1.0.15,4.0 and up
2-Apr-18,3.8,4.1 and up
26-Jun-18,1.0.4,4.4 and up
3-Aug-18,1.2.3,2.3 and up
6-Jun-18,NaN,4.2 and up
31-Jul-18,3.1,4.1 and up
7-Nov-17,1,2.3 and up
3-Aug-18,2.2.5,4.0.3 and up
30-Jul-18,5.5.4,4.1 and up
20-Apr-18,4,4.1 and up
20-Mar-18,1.1,4.0.3 and up
12-Jul-18,2.2.6.2,4.0.3 and up
7-Mar-18,1.0.0,4.1 and up
7-Jul-18,1.1.3,4.1 and up
25-Apr-18,1.5,3.0 and up
11-Oct-17,1.0.8,4.0.3 and up
21-Mar-18,1.03,4.0.3 and up
12-Jul-18,6,2.3 and up
22-Aug-17,1,2.3 and up
12-Jul-18,6.7.12.2018,4.0.3 and up
31-May-18,1.2,2.3 and up
19-Jul-18,2.2,4.0 and up
6-Jan-18,1.1.0,4.1 and up
27-Apr-18,1.6,4.1 and up
11-Jul-18,2.1,4.1 and up
2-Aug-18,1.0.9,4.4 and up
14-Jul-18,Varies with device,2.3.3 and up
29-Nov-17,1.3,4.0.3 and up
31-Mar-18,1,4.0 and up
20-Jul-18,2.0.1,4.0.3 and up
2-Apr-18,1,4.0.3 and up
30-Jul-18,Varies with device,Varies with device
15-Apr-18,1.46,4.1 and up
3-Jan-18,1.0.0,4.1 and up
31-Jul-18,1.6.1,4.1 and up
14-Nov-17,1.6,4.1 and up
17-Dec-17,2.0.0,4.1 and up
28-May-18,1,2.3 and up
10-May-18,1,4.0.3 and up
26-Jul-18,11,4.1 and up
26-Jul-18,3,4.1 and up
30-Jul-18,Varies with device,Varies with device
26-Jul-18,3,4.1 and up
31-Jul-18,4,4.1 and up
18-Jul-18,1.7.1,4.0 and up
29-Jul-18,2.5.1,4.4 and up
26-Jul-18,3,4.1 and up
,,
30-Jul-18,2.493,4.4 and up
8-Jul-18,1.9.1,4.0.3 and up
3-Jul-18,1.7,4.2 and up
28-Jul-18,2.20 Build 02,4.1 and up
12-Jun-18,1.37,4.0 and up
3-Jul-18,1.7,4.2 and up
30-Jul-18,0.2.1,4.4 and up
14-Oct-16,1,2.3 and up
30-Jul-18,Varies with device,Varies with device
25-May-18,Varies with device,Varies with device
16-Jul-18,4.47.3,4.0.3 and up
2-Aug-18,1.9.7,4.0.3 and up
2-Aug-18,2.2.21,4.2 and up
11-Jul-18,Varies with device,5.0 and up
29-Jul-18,2.9,2.3.3 and up
27-Jul-18,1.79,4.0 and up
14-Jun-18,1.3,4.0 and up
8-Jun-18,2.3.5.1,4.1 and up
4-Jul-18,1.6,4.0 and up
27-Mar-18,1.6,4.1 and up
15-Jul-18,8.31,4.1 and up
24-Jul-18,1.1.5.0,6.0 and up
27-Jul-18,10.0.2,4.2 and up
30-Jul-18,1.10.3,5.0 and up
23-Jul-18,1,4.0.3 and up
23-Jul-18,3.20.1,4.4 and up
4-Aug-18,Varies with device,Varies with device
29-Jul-18,1.0.3,2.3 and up
27-Apr-18,1.4,4.0.3 and up
3-Aug-18,Varies with device,Varies with device
10-May-18,4.6.5,Varies with device
16-May-18,2.8.2,4.1 and up
31-Jul-18,4.0.3,4.0.3 and up
2-Aug-18,Varies with device,4.0.3 and up
2-Aug-18,1.4,4.0.3 and up
23-Jul-18,1.5.18,4.0.3 and up
2-Jun-18,2.3.4,4.0 and up
20-Mar-18,1.03,4.0.3 and up
21-Apr-18,2.17,4.0 and up
2-Aug-18,6.10.1,5.0 and up
9-Nov-17,2.3.0,4.1 and up
15-May-18,4,4.1 and up
12-Jul-18,1.0.6,4.0.3 and up
24-Oct-16,Varies with device,Varies with device
28-Feb-18,1.6,4.1 and up
25-Jul-18,1.9,4.0.3 and up
10-May-18,1.1.0,4.0 and up
21-Jun-18,4,4.2 and up
5-Jun-18,5.4,5.0 and up
26-Jun-18,1.3,4.0.3 and up
12-Sep-17,Varies with device,Varies with device
2-Jun-18,2.0.0,4.0 and up
26-Jul-18,6,4.0 and up
24-Jul-18,3.0.1,4.0.3 and up
