age,hours_per_week
17,32
17,12
17,12
17,24
17,48
17,10
17,18
17,40
17,5
17,6
17,12
17,21
17,20
17,10
17,16
17,20
17,20
17,20
17,20
17,28
17,15
17,20
17,30
17,5
17,30
17,24
17,9
17,30
17,24
17,20
17,20
17,30
17,10
17,40
17,17
17,10
17,10
17,25
17,20
17,40
17,8
17,16
17,40
17,15
17,20
17,24
17,20
17,20
17,20
17,40
17,35
17,18
17,20
17,10
17,16
17,45
17,20
17,30
17,15
17,20
17,15
17,40
17,16
17,20
17,20
17,25
17,18
17,12
17,15
17,15
17,17
17,10
17,8
17,25
17,20
17,12
17,10
17,20
17,12
17,20
17,40
17,40
17,16
17,15
17,10
17,40
17,20
17,20
17,20
17,30
17,30
17,10
17,12
17,40
17,12
17,12
17,8
17,40
17,6
17,4
17,15
17,45
17,12
17,16
17,9
17,40
17,40
17,7
17,24
17,25
17,40
17,20
17,20
17,25
17,20
17,40
17,40
17,40
17,20
17,15
17,35
17,20
17,18
17,12
17,20
17,12
17,20
17,20
17,12
17,20
17,30
17,40
17,40
17,8
17,20
17,12
17,40
17,8
17,32
17,40
17,20
17,15
17,12
17,7
17,14
17,24
17,20
17,8
17,25
17,24
17,20
17,40
17,35
17,12
17,15
17,5
17,30
17,30
17,15
17,35
17,20
17,12
17,35
17,23
17,30
17,40
17,16
17,40
17,20
17,30
17,15
17,40
17,20
17,20
17,17
17,18
17,40
17,40
17,20
17,20
17,6
17,15
17,20
17,26
17,40
17,15
17,25
17,15
17,20
17,30
17,15
17,20
17,20
17,20
17,20
17,35
17,40
17,20
17,20
17,25
17,18
17,12
17,20
17,40
17,10
17,40
17,25
17,25
17,15
17,15
17,30
17,10
17,40
17,20
17,15
17,25
17,15
17,18
17,20
17,15
17,10
17,12
17,16
17,25
17,10
17,40
17,8
17,30
17,20
17,8
17,15
17,35
17,25
17,30
17,30
17,20
17,16
17,14
17,16
17,16
17,20
17,40
17,15
17,25
17,10
17,20
17,20
17,30
17,40
17,12
17,23
17,16
17,20
17,25
17,40
17,8
17,15
17,13
17,40
17,9
17,16
17,40
17,15
17,12
17,4
17,20
17,40
17,20
17,16
17,20
17,40
17,20
17,15
17,16
17,30
17,6
17,30
17,40
17,20
17,30
17,20
17,15
17,25
17,10
17,15
17,15
17,15
17,20
17,20
17,25
17,20
17,20
17,20
17,18
17,16
17,20
17,20
17,15
17,6
17,20
17,12
17,40
17,40
17,20
17,20
17,10
17,40
17,30
17,40
17,30
17,15
17,15
17,22
17,40
17,12
17,12
17,16
17,30
17,20
17,5
17,40
17,32
17,12
17,17
17,16
17,30
17,30
17,15
17,20
17,25
17,20
17,12
17,15
17,12
17,20
17,20
17,12
17,15
17,30
17,18
17,20
17,10
17,15
17,15
17,8
17,35
17,10
17,16
17,16
17,8
17,16
17,16
17,5
17,25
17,15
17,15
17,20
17,20
17,20
17,10
17,20
17,15
17,23
17,10
17,20
17,22
17,18
17,20
17,8
17,12
17,26
17,30
17,25
17,10
17,20
17,40
17,20
17,30
17,40
17,35
17,45
17,17
17,12
17,15
17,40
17,5
17,30
17,24
17,12
17,20
17,15
17,25
17,35
17,25
17,20
18,30
18,22
18,30
18,16
18,12
18,40
18,40
18,25
18,40
18,5
18,25
18,30
18,33
18,20
18,45
18,20
18,40
18,15
18,6
18,16
18,15
18,8
18,25
18,20
18,40
18,27
18,15
18,15
18,40
18,40
18,40
18,20
18,40
18,27
18,25
18,24
18,36
18,15
18,20
18,10
18,30
18,10
18,15
18,35
18,20
18,30
18,12
18,20
18,35
18,15
18,20
18,36
18,40
18,20
18,40
18,28
18,30
18,40
18,40
18,20
18,10
18,25
18,40
18,25
18,20
18,55
18,24
18,16
18,3
18,25
18,40
18,15
18,8
18,40
18,40
18,20
18,40
18,20
18,40
18,40
18,24
18,35
18,12
18,12
18,20
18,40
18,40
18,10
18,20
18,30
18,20
18,6
18,11
18,16
18,20
18,30
18,40
18,24
18,35
18,4
18,20
18,20
18,30
18,8
18,36
18,6
18,30
18,40
18,20
18,13
18,15
18,35
18,20
18,20
18,40
18,30
18,20
18,12
18,60
18,30
18,20
18,60
18,15
18,20
18,10
18,20
18,25
18,8
18,20
18,40
18,30
18,15
18,25
18,40
18,8
18,30
18,25
18,22
18,32
18,32
18,40
18,27
18,20
18,16
18,11
18,20
18,22
18,40
18,30
18,15
18,24
18,35
18,25
18,19
18,40
18,25
18,20
18,38
18,56
18,35
18,20
18,25
18,30
18,40
18,35
18,15
18,30
18,40
18,30
18,40
18,30
18,25
18,20
18,30
18,20
18,15
18,15
18,48
18,16
18,40
18,25
18,50
18,40
18,25
18,30
18,24
18,25
