age,sex,hours-per-week
39,Male,40
50,Male,13
38,Male,40
53,Male,40
28,Female,40
37,Female,40
49,Female,16
52,Male,45
31,Female,50
42,Male,40
37,Male,80
30,Male,40
23,Female,30
32,Male,50
40,Male,40
34,Male,45
25,Male,35
32,Male,40
38,Male,50
43,Female,45
40,Male,60
54,Female,20
35,Male,40
43,Male,40
59,Female,40
56,Male,40
19,Male,40
54,Male,60
39,Male,80
49,Male,40
23,Male,52
20,Male,44
45,Male,40
30,Male,40
22,Male,15
48,Male,40
21,Male,40
19,Female,25
31,Male,38
48,Male,40
31,Male,43
53,Male,40
24,Male,50
49,Female,40
25,Male,35
57,Male,40
53,Male,38
44,Female,40
41,Male,40
29,Male,43
25,Female,40
18,Female,30
47,Female,60
50,Male,55
47,Male,60
43,Male,40
46,Male,40
35,Male,40
41,Male,48
30,Male,40
30,Male,40
32,Male,40
48,Male,40
42,Male,45
29,Male,58
36,Male,40
28,Female,40
53,Female,40
49,Male,50
25,Male,40
19,Male,32
31,Female,40
29,Male,70
23,Male,40
79,Male,20
27,Male,40
40,Male,40
67,Male,2
18,Female,22
31,Male,40
18,Male,30
52,Male,40
46,Female,40
59,Male,48
44,Female,40
53,Female,35
49,Male,40
33,Male,50
30,Male,40
43,Female,50
57,Male,40
37,Female,40
28,Female,25
30,Female,35
34,Male,40
29,Male,50
48,Male,60
37,Male,48
48,Female,40
32,Male,40
76,Male,40
44,Male,60
47,Female,50
20,Female,40
29,Male,40
32,Male,40
17,Female,32
30,Male,40
31,Female,40
42,Male,40
24,Male,40
38,Male,40
56,Male,50
28,Female,25
36,Female,40
53,Male,50
56,Male,50
49,Male,40
55,Male,56
22,Male,41
21,Female,40
40,Male,60
30,Male,40
29,Male,50
19,Male,35
47,Female,40
20,Female,28
31,Male,40
35,Male,40
39,Male,40
28,Female,60
24,Female,40
38,Male,35
37,Male,50
46,Female,36
38,Male,40
43,Male,60
27,Female,35
20,Male,20
49,Male,40
61,Male,40
27,Female,40
19,Male,30
45,Female,40
70,Male,40
31,Female,30
22,Male,24
36,Female,24
64,Male,40
43,Female,40
47,Female,38
34,Female,40
33,Female,40
21,Male,35
52,Male,45
48,Male,46
23,Male,40
71,Male,2
29,Male,60
42,Male,50
68,Female,20
25,Female,40
44,Female,40
28,Female,40
45,Male,40
36,Female,40
39,Male,42
46,Male,40
18,Male,16
66,Female,20
27,Male,40
28,Male,40
51,Male,40
27,Male,50
28,Male,40
27,Female,25
21,Male,40
34,Male,40
18,Male,12
33,Male,65
44,Male,38
43,Female,40
30,Male,45
40,Male,40
37,Male,42
34,Male,40
41,Female,40
53,Female,50
31,Female,50
58,Male,1
38,Female,28
24,Male,40
41,Male,40
47,Male,45
41,Male,24
23,Male,40
36,Male,40
40,Female,55
35,Male,40
24,Male,40
26,Female,40
19,Male,40
51,Male,50
42,Female,40
37,Female,35
18,Female,40
36,Male,36
35,Male,60
58,Female,35
17,Female,12
44,Male,40
37,Male,40
35,Female,40
60,Male,40
54,Male,40
37,Male,60
50,Female,40
38,Male,50
45,Male,55
25,Male,40
31,Male,40
64,Male,40
90,Male,40
54,Male,20
53,Female,35
18,Female,40
60,Female,10
66,Male,50
75,Female,20
65,Female,40
35,Male,40
41,Female,38
25,Male,42
33,Female,40
28,Male,55
59,Male,40
40,Female,38
41,Male,50
38,Male,70
23,Male,40
40,Male,40
41,Female,20
24,Male,50
20,Male,20
38,Male,40
56,Male,35
58,Male,45
32,Female,34
40,Male,60
45,Male,40
41,Female,40
42,Female,40
59,Female,30
19,Male,40
58,Male,20
42,Male,40
20,Female,40
32,Female,30
45,Female,45
50,Male,40
36,Female,40
45,Male,60
17,Male,12
59,Male,40
26,Male,40
37,Male,75
19,Male,24
64,Male,40
33,Female,45
33,Female,40
61,Male,40
17,Male,24
50,Male,98
27,Male,35
30,Female,40
43,Male,40
44,Male,40
35,Female,40
25,Female,40
24,Female,48
22,Female,15
42,Male,40
34,Female,45
60,Female,42
21,Male,40
57,Male,40
41,Male,60
50,Male,45
25,Female,40
50,Male,40
36,Male,45
31,Female,40
29,Male,56
21,Male,45
27,Female,40
65,Male,16
37,Female,60
39,Female,40
24,Male,40
38,Male,80
48,Male,40
21,Female,25
31,Male,45
55,Male,40
24,Female,40
43,Female,40
26,Male,45
46,Female,33
35,Male,40
41,Male,54
26,Male,40
34,Male,35
19,Female,25
36,Female,40
22,Male,15
24,Male,40
77,Male,40
22,Female,40
29,Female,40
62,Female,24
39,Male,40
43,Male,50
35,Male,45
29,Female,40
76,Male,10
63,Male,45
23,Female,15
43,Female,50
58,Male,40
66,Male,55
41,Male,45
26,Male,40
47,Male,40
55,Male,40
53,Male,40
17,Male,48
30,Male,40
49,Male,60
19,Male,30
45,Male,40
26,Male,40
38,Male,40
36,Male,40
33,Male,20
22,Female,40
43,Male,42
67,Male,8
30,Female,40
56,Male,25
31,Male,25
33,Male,40
26,Male,40
33,Male,40
46,Male,30
59,Male,40
38,Male,40
65,Male,40
40,Male,40
42,Female,35
26,Male,40
36,Female,24
62,Male,40
43,Male,45
43,Male,45
22,Male,55
28,Male,40
56,Male,45
22,Female,15
57,Female,45
39,Female,40
26,Female,15
17,Male,10
40,Male,38
45,Male,40
44,Male,40
20,Female,10
33,Female,40
23,Male,40
46,Male,30
38,Male,50
54,Male,40
46,Female,45
25,Male,40
46,Female,40
36,Female,40
23,Female,25
29,Male,40
44,Female,6
19,Female,16
19,Female,40
35,Female,40
27,Male,50
46,Male,40
34,Male,45
34,Female,35
44,Male,40
45,Female,40
20,Female,35
25,Male,55
52,Male,50
20,Male,40
28,Female,40
50,Male,40
34,Female,64
28,Male,40
41,Male,65
28,Male,40
46,Male,25
28,Female,40
32,Male,50
41,Female,24
24,Female,40
33,Female,40
46,Male,60
31,Male,40
35,Male,50
52,Male,40
30,Female,19
34,Male,40
34,Female,40
20,Male,30
17,Male,18
32,Female,40
29,Male,40
33,Female,35
25,Male,60
36,Male,40
23,Male,72
63,Male,40
47,Male,40
80,Male,24
17,Male,40
40,Female,40
30,Female,25
27,Male,40
33,Male,50
34,Male,60
34,Female,40
23,Male,40
42,Female,40
29,Male,40
45,Female,28
24,Male,40
44,Male,40
27,Male,40
20,Male,35
44,Female,40
51,Male,40
20,Male,40
17,Female,5
19,Female,40
45,Male,55
60,Male,40
42,Male,40
44,Female,40
40,Male,40
30,Female,40
38,Male,50
23,Male,60
32,Male,40
44,Male,40
54,Male,40
32,Male,50
50,Male,40
24,Female,20
37,Female,60
52,Male,40
38,Male,40
49,Male,45
30,Female,16
60,Male,40
22,Male,40
35,Male,40
30,Male,60
67,Female,24
46,Female,40
17,Male,6
22,Male,30
27,Male,40
23,Female,35
33,Male,45
43,Male,20
28,Male,20
41,Female,40
52,Male,40
25,Female,20
63,Male,35
59,Male,45
45,Female,40
38,Male,60
40,Female,35
46,Male,40
35,Female,60
34,Female,25
33,Male,20
41,Female,36
20,Male,40
23,Male,40
26,Female,35
72,Male,20
23,Male,40
62,Male,40
52,Male,40
58,Female,42
25,Female,40
24,Male,40
19,Male,8
43,Male,40
47,Female,40
39,Female,40
49,Male,42
53,Female,30
32,Male,45
34,Male,50
28,Male,45
57,Female,38
25,Female,20
20,Male,24
21,Female,35
34,Male,50
38,Male,80
50,Male,50
24,Male,50
37,Male,45
44,Male,58
28,Female,40
42,Male,40
74,Female,9
38,Male,50
44,Male,40
44,Female,46
26,Male,40
36,Male,40
41,Female,50
67,Male,48
39,Male,50
57,Female,30
29,Male,40
31,Female,45
34,Female,40
44,Male,40
29,Male,40
30,Female,40
27,Male,40
27,Male,50
32,Female,45
58,Female,8
35,Male,40
21,Male,36
28,Male,40
46,Male,50
36,Female,40
72,Female,40
35,Female,40
33,Female,40
69,Female,40
35,Male,40
31,Female,20
34,Female,32
30,Male,40
28,Male,55
54,Male,35
47,Male,50
24,Female,40
52,Male,60
20,Male,48
43,Male,45
45,Female,40
29,Male,35
47,Male,42
24,Male,40
51,Male,40
17,Male,12
37,Male,40
27,Female,70
29,Male,40
18,Male,25
36,Female,35
58,Female,40
26,Male,45
65,Male,30
57,Male,40
59,Male,40
27,Male,40
31,Male,40
21,Female,24
29,Male,60
18,Male,40
52,Male,47
57,Male,80
42,Male,40
55,Female,40
60,Male,48
31,Male,40
23,Female,40
27,Male,40
23,Female,25
42,Male,50
25,Male,40
49,Female,45
32,Male,40
19,Male,28
60,Female,40
42,Male,40
35,Male,40
48,Female,37
51,Male,40
29,Male,40
36,Male,40
17,Female,21
52,Female,60
24,Male,40
24,Male,50
26,Male,40
27,Female,20
39,Male,60
30,Male,45
50,Male,32
52,Male,55
46,Male,45
23,Female,20
45,Female,20
65,Female,24
29,Male,55
47,Male,40
30,Male,60
34,Male,45
38,Male,64
33,Male,40
49,Male,26
47,Female,40
49,Female,40
43,Male,60
30,Female,40
58,Male,60
19,Female,14
21,Male,40
33,Male,60
47,Male,50
52,Male,60
26,Male,55
60,Male,40
21,Male,40
36,Male,50
31,Male,45
50,Male,40
31,Female,40
71,Male,15
58,Male,50
30,Male,40
20,Male,20
24,Male,50
35,Male,40
38,Female,45
27,Female,32
29,Female,40
70,Female,15
34,Male,45
44,Male,35
43,Male,40
44,Male,40
35,Male,60
27,Male,40
43,Male,38
20,Female,25
42,Female,40
27,Male,40
42,Male,40
20,Female,40
24,Male,40
48,Male,40
17,Female,20
17,Male,10
33,Male,40
50,Male,50
22,Female,40
17,Male,16
32,Male,40
31,Male,45
58,Male,50
29,Male,48
37,Male,40
34,Male,40
23,Male,40
18,Female,5
34,Female,40
66,Male,4
45,Female,55
41,Male,35
26,Male,30
54,Male,40
24,Female,45
42,Male,50
20,Male,20
23,Female,20
25,Male,45
35,Male,60
31,Male,40
30,Female,40
19,Female,20
36,Male,50
31,Female,40
21,Male,30
31,Male,40
46,Female,65
44,Female,50
40,Male,40
45,Male,40
60,Male,35
18,Male,25
28,Male,40
36,Female,40
36,Male,40
40,Male,40
36,Female,35
31,Female,40
33,Male,40
19,Female,40
22,Female,15
34,Male,45
33,Male,40
41,Male,60
29,Male,40
50,Male,42
42,Male,45
43,Male,40
44,Female,40
20,Female,20
31,Male,40
65,Male,59
23,Female,24
55,Female,40
26,Male,45
25,Female,15
45,Female,40
35,Male,40
36,Female,36
43,Male,50
56,Female,20
42,Male,40
19,Female,25
55,Male,72
42,Female,50
26,Male,40
17,Male,20
42,Female,40
55,Male,40
32,Female,40
29,Male,40
46,Male,37
29,Male,40
22,Male,20
58,Male,40
23,Male,50
39,Male,40
27,Male,38
54,Male,40
33,Female,45
46,Female,40
37,Male,40
36,Female,18
59,Female,38
34,Male,40
53,Male,70
51,Male,55
32,Female,42
31,Male,40
22,Female,30
47,Female,50
32,Male,40
26,Female,38
37,Male,32
31,Male,55
37,Female,24
55,Male,38
23,Male,56
36,Female,40
34,Male,40
43,Male,50
54,Male,40
43,Male,40
28,Female,42
40,Male,50
41,Male,60
40,Female,55
42,Female,38
61,Male,50
18,Male,30
59,Male,16
21,Female,40
48,Male,50
41,Male,40
18,Male,33
23,Female,40
60,Male,60
22,Male,20
61,Male,40
25,Male,40
46,Male,35
43,Male,40
43,Male,40
24,Male,30
68,Male,20
31,Female,38
17,Female,20
32,Male,48
50,Male,40
33,Male,47
64,Male,40
20,Male,30
30,Female,36
22,Male,40
43,Male,45
22,Male,40
17,Male,20
47,Female,75
41,Female,60
56,Male,50
64,Male,45
47,Male,50
48,Male,40
31,Female,46
29,Male,40
30,Female,40
32,Male,60
57,Male,42
62,Female,40
39,Female,24
43,Male,25
24,Male,40
42,Male,15
53,Female,40
26,Male,40
73,Male,40
72,Female,24
55,Male,40
25,Male,40
41,Female,50
24,Male,50
63,Male,6
17,Male,20
35,Male,50
51,Male,40
62,Female,48
55,Male,40
43,Male,40
40,Female,50
37,Male,45
39,Male,40
31,Male,18
61,Female,40
26,Female,55
46,Male,50
26,Female,40
48,Male,50
34,Male,40
34,Female,40
59,Male,40
34,Female,40
49,Female,56
18,Female,20
43,Male,40
48,Male,50
28,Male,70
33,Male,40
24,Female,15
21,Male,40
17,Male,28
39,Male,50
29,Male,40
44,Male,40
24,Male,50
71,Male,40
51,Male,40
55,Male,25
41,Male,60
23,Female,7
38,Female,40
39,Male,40
19,Female,30
49,Female,40
32,Male,40
27,Male,70
38,Male,50
33,Female,60
63,Male,15
23,Male,28
33,Male,60
54,Male,40
29,Female,45
48,Female,30
35,Male,40
28,Female,40
37,Male,50
42,Male,65
40,Male,40
47,Male,55
22,Female,50
30,Male,45
28,Male,40
63,Male,55
51,Male,20
22,Female,40
27,Male,40
35,Male,45
46,Female,38
37,Male,52
24,Male,15
37,Male,10
53,Male,40
27,Male,30
38,Male,44
53,Male,60
34,Male,40
23,Male,40
39,Male,45
43,Female,50
67,Male,40
81,Male,30
21,Male,20
23,Male,25
25,Male,40
42,Female,38
38,Female,40
64,Male,5
32,Male,40
37,Male,40
51,Male,60
22,Female,42
33,Female,40
42,Male,55
19,Female,10
51,Male,40
23,Female,40
37,Male,44
37,Male,99
47,Female,25
41,Male,40
33,Male,30
31,Male,40
31,Female,40
35,Male,40
38,Male,40
18,Female,45
20,Male,40
54,Female,35
40,Female,40
36,Female,45
43,Male,35
44,Male,40
44,Female,40
43,Male,43
51,Female,40
18,Female,20
51,Male,40
41,Male,30
44,Male,70
33,Male,40
33,Male,40
42,Male,40
25,Male,45
32,Female,38
32,Male,70
36,Female,40
28,Male,40
20,Female,20
35,Male,60
55,Male,20
48,Male,40
36,Female,20
34,Male,35
28,Female,35
67,Male,40
37,Male,40
44,Male,70
25,Female,40
21,Female,40
40,Male,35
78,Female,40
34,Male,40
49,Female,44
22,Female,40
23,Female,40
60,Male,42
45,Male,40
63,Female,20
41,Female,35
47,Female,40
44,Male,40
51,Female,40
46,Male,40
41,Male,40
50,Male,30
47,Male,50
35,Male,45
56,Male,55
45,Male,45
48,Male,58
40,Male,40
39,Male,50
20,Male,40
50,Male,65
38,Female,40
23,Female,60
31,Male,16
58,Male,40
66,Male,40
39,Male,40
54,Male,52
26,Male,50
51,Female,40
34,Male,40
50,Male,40
42,Male,44
38,Male,25
48,Male,40
33,Female,40
51,Female,32
22,Male,40
19,Male,30
41,Male,50
48,Male,35
42,Female,30
34,Male,40
23,Female,40
56,Male,50
30,Male,45
45,Male,55
48,Female,40
48,Male,50
31,Female,40
20,Male,20
27,Male,40
32,Female,40
76,Male,2
19,Male,40
66,Male,1
37,Male,75
34,Female,30
34,Female,8
90,Female,40
23,Female,40
43,Female,40
44,Male,60
24,Female,37
28,Male,55
64,Female,20
23,Male,40
20,Female,50
36,Male,50
61,Male,40
53,Male,40
30,Male,40
52,Male,55
38,Male,40
32,Male,40
30,Male,75
41,Female,40
49,Male,40
45,Male,47
43,Male,35
61,Male,40
54,Male,32
34,Female,40
49,Male,80
38,Male,40
35,Male,80
36,Male,40
30,Male,50
36,Female,60
22,Female,20
38,Male,40
37,Male,50
48,Female,46
17,Male,15
19,Male,20
27,Female,40
22,Male,50
49,Male,40
43,Female,40
43,Female,40
19,Female,35
58,Male,60
41,Male,40
31,Male,40
30,Male,40
32,Male,40
29,Male,35
42,Male,52
38,Male,28
41,Male,40
44,Male,50
31,Male,60
34,Male,40
21,Male,40
22,Male,20
62,Male,40
19,Female,40
29,Female,25
43,Female,40
68,Male,8
45,Male,60
39,Male,40
41,Male,50
34,Female,25
34,Female,33
31,Male,47
29,Male,25
41,Male,40
