date,temperature
1/1/2019,31.6
1/2/2019,29.8
1/3/2019,28.8
1/4/2019,32.2
1/5/2019,37.8
1/6/2019,22
1/7/2019,25.6
1/8/2019,28.4
1/9/2019,30.4
1/10/2019,22.3
1/11/2019,27.9
1/12/2019,28.8
1/13/2019,27.8
1/14/2019,28.4
1/15/2019,29
1/16/2019,30.3
1/17/2019,29
1/18/2019,32.4
1/19/2019,26.4
1/20/2019,26.6
1/21/2019,26.6
1/22/2019,29.3
1/23/2019,29.8
1/24/2019,28
1/25/2019,30.2
1/26/2019,35.1
1/27/2019,34.4
1/28/2019,30.6
1/29/2019,29.6
1/30/2019,28.4
1/31/2019,39.6
2/1/2019,22.4
2/2/2019,26.8
2/3/2019,29.8
2/4/2019,29.5
2/5/2019,29.2
2/6/2019,28.9
2/7/2019,29.2
2/8/2019,30.4
2/9/2019,31.3
2/10/2019,25.7
2/11/2019,27.2
2/12/2019,36.3
2/13/2019,26.8
2/14/2019,25.8
2/15/2019,27.4
2/16/2019,28.1
2/17/2019,29.4
2/18/2019,29.3
2/19/2019,31.2
2/20/2019,22.2
2/21/2019,22.8
2/22/2019,23.1
2/23/2019,21.1
2/24/2019,26.6
2/25/2019,25.7
2/26/2019,27.3
2/27/2019,27.7
2/28/2019,28.6
3/1/2019,28.1
3/2/2019,27.9
3/3/2019,27.9
3/4/2019,28.2
3/5/2019,28.6
3/6/2019,35.6
3/7/2019,23.9
3/8/2019,27.2
3/9/2019,24.3
3/10/2019,27.9
3/11/2019,28.3
3/12/2019,34.6
3/13/2019,24.3
3/14/2019,26.6
3/15/2019,24.1
3/16/2019,24.1
3/17/2019,20.5
3/18/2019,22.1
3/19/2019,26.9
3/20/2019,27.5
3/21/2019,26.6
3/22/2019,26.9
3/23/2019,27.7
3/24/2019,33
3/25/2019,26
3/26/2019,26.6
3/27/2019,24.3
3/28/2019,25.9
3/29/2019,26.2
3/30/2019,26.5
3/31/2019,22.5
4/1/2019,20.8
4/2/2019,23.4
4/3/2019,25.1
4/4/2019,23.7
4/5/2019,23.7
4/6/2019,27.7
4/7/2019,25
4/8/2019,32.5
4/9/2019,28.2
4/10/2019,21.3
4/11/2019,20.6
4/12/2019,22.2
4/13/2019,26.4
4/14/2019,23.9
4/15/2019,24
4/16/2019,25.7
4/17/2019,24.8
4/18/2019,26
4/19/2019,26
4/20/2019,24.8
4/21/2019,25.2
4/22/2019,25.2
4/23/2019,25.5
4/24/2019,25
4/25/2019,26.7
4/26/2019,29.5
4/27/2019,20.9
4/28/2019,23.6
4/29/2019,22.5
4/30/2019,24.3
5/1/2019,22.5
5/2/2019,24.1
5/3/2019,24.1
5/4/2019,23.1
5/5/2019,19.1
5/6/2019,21.4
5/7/2019,23.4
5/8/2019,21.3
5/9/2019,20.9
5/10/2019,20.4
5/11/2019,21.4
5/12/2019,23
5/13/2019,23
5/14/2019,24.1
5/15/2019,22.9
5/16/2019,22.4
5/17/2019,23.4
5/18/2019,24.1
5/19/2019,22.7
5/20/2019,22.6
5/21/2019,27.2
5/22/2019,25.3
5/23/2019,24.7
5/24/2019,25
5/25/2019,27.1
5/26/2019,23.7
5/27/2019,19.3
5/28/2019,19.3
5/29/2019,19.4
5/30/2019,17.4
5/31/2019,21
6/1/2019,20.4
6/2/2019,20.8
6/3/2019,17.6
6/4/2019,14.1
6/5/2019,15.2
6/6/2019,19.6
